6211AN,"POLYGON((176493.487788 318265.045621, 176492.864924 318216.204133, 176428.800004 318214.619689, 176437.376432 318260.656715, 176451.43347 318240.199568, 176438.649467 318223.091565, 176458.068943 318220.207259, 176487.640296 318227.475058, 176467.429662 318276.830752, 176502.586029 318286.494188, 176493.487788 318265.045621))"
6287CH,"POLYGON((194792.163276 314958.076709, 194711.80244 314922.830322, 194792.213897 314957.985789, 195034.177009 314525.154073, 194895.565739 314482.541651, 194652.80557 314321.197778, 194538.439364 314272.467295, 194515.110465 314268.347909, 194341.038112 314350.643619, 194318.796581 314664.404101, 194340.960938 314733.20354, 194330.44203 314814.240808, 194350.713272 314956.504659, 194476.754446 314945.258923, 194524.095682 315020.932221, 194594.818694 315062.092831, 194612.141076 315026.126099, 194653.706353 315021.172176, 194677.13991 315001.138185, 194758.436965 315018.352519, 194792.163276 314958.076709))"
6291XJ,"POLYGON((199212.32946 309003.911156, 199268.219203 308924.218469, 199233.621643 308911.635104, 199291.395881 308906.059636, 199274.877801 308880.326167, 199196.825014 308889.048791, 199186.798446 308975.189848, 199206.107628 309012.035611, 199212.32946 309003.911156))"
6211AA,"POLYGON((176872.806 319217.1423, 176781.8632 318504.4942, 176730.0623 318602.0278, 176531.3354 318504.4614, 176459.629 318509.8322, 176491.5821 318701.6556, 176568.8362 318791.5586, 176571.3778 318860.5621, 176419.4176 318874.4085, 176533.9618 318932.4052, 176499.0744 318936.6831, 176466.0519 318982.306, 176408.61344 319020.93436, 176482.5164 319063.7923, 176505.4598 319055.7889, 176535.028467 319007.751333, 176549.9239 319075.7922, 176446.7526 319148.7528, 176464.853 319177.294, 176537.321 319147.0246, 176755.923933 319124.198933, 176710.9095 319275.4371, 176839.9489 319337.9842, 176872.806 319217.1423))"
6211AB,"POLYGON((176306.0146 318916.5054, 176419.4176 318874.4085, 176571.3778 318860.5621, 176568.8362 318791.5586, 176491.5821 318701.6556, 176382.2309 318666.9239, 176349.70705 318714.6196, 176323.4329 318714.2871, 176286.1365 318921.2592, 176306.0146 318916.5054))"
6211AC,"POLYGON((176408.61344 319020.93436, 176466.0519 318982.306, 176499.0744 318936.6831, 176533.9618 318932.4052, 176419.4176 318874.4085, 176306.0146 318916.5054, 176381.0973 318967.3333, 176368.0531 319004.7106, 176408.61344 319020.93436))"
6211AD,"POLYGON((176781.8632 318504.4942, 176753.9138 318311.8121, 176624.0078 318399.2718, 176644.6391 318453.6879, 176740.1557 318574.4267, 176781.8632 318504.4942))"
6211AE,"POLYGON((176407.427 318665.7272, 176386.4336 318581.7515, 176330.64385 318641.00955, 176407.427 318665.7272))"
6211AH,"POLYGON((176740.1557 318574.4267, 176644.6391 318453.6879, 176624.0078 318399.2718, 176596.0334 318390.2213, 176568.6846 318472.3792, 176533.96175 318511.65715, 176727.0434 318601.7282, 176740.1557 318574.4267))"
6211AK,"MULTIPOLYGON(((176368.9349 318409.0333, 176358.8112 318401.83855, 176352.65331 318444.48445, 176384.1667 318426.9093, 176368.9349 318409.0333)), ((176491.5821 318701.6556, 176459.629 318509.8322, 176373.2805 318493.8803, 176367.464067 318516.3302, 176330.4088 318541.4051, 176327.38 318575.275, 176386.722775 318574.96875, 176407.427 318665.7272, 176491.5821 318701.6556)))"
